Date,Age Range,Gender,Segment,Product,Total Customers,Region,Language Preference
1/1/2024,18-34,Male,Highly Engaged,Basic,722,South,Spanish
1/1/2024,18-34,Male,Highly Engaged,Enhanced,701,Northeast,Vietnamese
1/1/2024,18-34,Male,Highly Engaged,Premium,811,Midwest,English
1/1/2024,18-34,Male,Reactive Engagers,Basic,706,South,English
1/1/2024,18-34,Male,Reactive Engagers,Enhanced,680,Northeast,English
1/1/2024,18-34,Male,Reactive Engagers,Premium,803,Midwest,English
1/1/2024,18-34,Male,Content & Complacent,Basic,759,South,English
1/1/2024,18-34,Male,Content & Complacent,Enhanced,741,Northeast,English
1/1/2024,18-34,Male,Content & Complacent,Premium,721,West,English
1/1/2024,18-34,Male,Unengaged,Basic,714,South,Spanish
1/1/2024,18-34,Male,Unengaged,Enhanced,676,West,English
1/1/2024,18-34,Male,Unengaged,Premium,779,West,English
1/1/2024,18-34,Female,Highly Engaged,Basic,821,Midwest,English
1/1/2024,18-34,Female,Highly Engaged,Enhanced,716,Northeast,English
1/1/2024,18-34,Female,Highly Engaged,Premium,761,Midwest,English
1/1/2024,18-34,Female,Reactive Engagers,Basic,709,West,English
1/1/2024,18-34,Female,Reactive Engagers,Enhanced,752,Northeast,English
1/1/2024,18-34,Female,Reactive Engagers,Premium,735,Northeast,Chinese
1/1/2024,18-34,Female,Content & Complacent,Basic,827,Midwest,Spanish
1/1/2024,18-34,Female,Content & Complacent,Enhanced,756,West,English
1/1/2024,18-34,Female,Content & Complacent,Premium,831,Midwest,English
1/1/2024,18-34,Female,Unengaged,Basic,679,South,Spanish
1/1/2024,18-34,Female,Unengaged,Enhanced,701,West,English
1/1/2024,18-34,Female,Unengaged,Premium,679,South,English
1/1/2024,35-49,Male,Highly Engaged,Basic,700,Northeast,Spanish
1/1/2024,35-49,Male,Highly Engaged,Enhanced,806,South,English
1/1/2024,35-49,Male,Highly Engaged,Premium,819,Midwest,Vietnamese
1/1/2024,35-49,Male,Reactive Engagers,Basic,819,Midwest,English
1/1/2024,35-49,Male,Reactive Engagers,Enhanced,723,Midwest,Spanish
1/1/2024,35-49,Male,Reactive Engagers,Premium,821,Northeast,Spanish
1/1/2024,35-49,Male,Content & Complacent,Basic,790,West,English
1/1/2024,35-49,Male,Content & Complacent,Enhanced,746,South,English
1/1/2024,35-49,Male,Content & Complacent,Premium,771,West,English
1/1/2024,35-49,Male,Unengaged,Basic,695,Northeast,English
1/1/2024,35-49,Male,Unengaged,Enhanced,810,Northeast,English
1/1/2024,35-49,Male,Unengaged,Premium,694,Northeast,English
1/1/2024,35-49,Female,Highly Engaged,Basic,701,Northeast,English
1/1/2024,35-49,Female,Highly Engaged,Enhanced,676,Northeast,English
1/1/2024,35-49,Female,Highly Engaged,Premium,718,Midwest,English
1/1/2024,35-49,Female,Reactive Engagers,Basic,707,West,Spanish
1/1/2024,35-49,Female,Reactive Engagers,Enhanced,793,Midwest,Chinese
1/1/2024,35-49,Female,Reactive Engagers,Premium,697,West,Spanish
1/1/2024,35-49,Female,Content & Complacent,Basic,834,West,Spanish
1/1/2024,35-49,Female,Content & Complacent,Enhanced,717,Northeast,English
1/1/2024,35-49,Female,Content & Complacent,Premium,761,West,English
1/1/2024,35-49,Female,Unengaged,Basic,681,South,English
1/1/2024,35-49,Female,Unengaged,Enhanced,684,South,English
1/1/2024,35-49,Female,Unengaged,Premium,765,Northeast,English
1/1/2024,50-64,Male,Highly Engaged,Basic,720,West,English
1/1/2024,50-64,Male,Highly Engaged,Enhanced,784,Midwest,English
1/1/2024,50-64,Male,Highly Engaged,Premium,704,West,Chinese
1/1/2024,50-64,Male,Reactive Engagers,Basic,679,West,Chinese
1/1/2024,50-64,Male,Reactive Engagers,Enhanced,774,Northeast,English
1/1/2024,50-64,Male,Reactive Engagers,Premium,710,South,Spanish
1/1/2024,50-64,Male,Content & Complacent,Basic,809,West,English
1/1/2024,50-64,Male,Content & Complacent,Enhanced,772,West,English
1/1/2024,50-64,Male,Content & Complacent,Premium,815,South,English
1/1/2024,50-64,Male,Unengaged,Basic,823,West,Chinese
1/1/2024,50-64,Male,Unengaged,Enhanced,696,West,Spanish
1/1/2024,50-64,Male,Unengaged,Premium,813,West,English
1/1/2024,50-64,Female,Highly Engaged,Basic,741,West,English
1/1/2024,50-64,Female,Highly Engaged,Enhanced,751,South,Spanish
1/1/2024,50-64,Female,Highly Engaged,Premium,809,West,Spanish
1/1/2024,50-64,Female,Reactive Engagers,Basic,757,Midwest,Spanish
1/1/2024,50-64,Female,Reactive Engagers,Enhanced,802,Midwest,English
1/1/2024,50-64,Female,Reactive Engagers,Premium,714,South,English
1/1/2024,50-64,Female,Content & Complacent,Basic,816,Midwest,Chinese
1/1/2024,50-64,Female,Content & Complacent,Enhanced,754,West,English
1/1/2024,50-64,Female,Content & Complacent,Premium,801,Northeast,Spanish
1/1/2024,50-64,Female,Unengaged,Basic,749,Midwest,English
1/1/2024,50-64,Female,Unengaged,Enhanced,732,South,English
1/1/2024,50-64,Female,Unengaged,Premium,832,Northeast,Vietnamese
1/1/2024,65+,Male,Highly Engaged,Basic,695,Midwest,English
1/1/2024,65+,Male,Highly Engaged,Enhanced,769,Midwest,English
1/1/2024,65+,Male,Highly Engaged,Premium,808,South,English
1/1/2024,65+,Male,Reactive Engagers,Basic,766,South,English
1/1/2024,65+,Male,Reactive Engagers,Enhanced,781,West,English
1/1/2024,65+,Male,Reactive Engagers,Premium,823,Midwest,English
1/1/2024,65+,Male,Content & Complacent,Basic,827,Northeast,English
1/1/2024,65+,Male,Content & Complacent,Enhanced,686,West,English
1/1/2024,65+,Male,Content & Complacent,Premium,737,West,English
1/1/2024,65+,Male,Unengaged,Basic,673,Northeast,Spanish
1/1/2024,65+,Male,Unengaged,Enhanced,770,Midwest,English
1/1/2024,65+,Male,Unengaged,Premium,795,Northeast,Spanish
1/1/2024,65+,Female,Highly Engaged,Basic,780,Northeast,English
1/1/2024,65+,Female,Highly Engaged,Enhanced,687,West,English
1/1/2024,65+,Female,Highly Engaged,Premium,719,Northeast,English
1/1/2024,65+,Female,Reactive Engagers,Basic,680,Midwest,English
1/1/2024,65+,Female,Reactive Engagers,Enhanced,825,West,English
1/1/2024,65+,Female,Reactive Engagers,Premium,693,South,English
1/1/2024,65+,Female,Content & Complacent,Basic,760,West,English
1/1/2024,65+,Female,Content & Complacent,Enhanced,819,Northeast,English
1/1/2024,65+,Female,Content & Complacent,Premium,764,Midwest,English
1/1/2024,65+,Female,Unengaged,Basic,716,West,English
1/1/2024,65+,Female,Unengaged,Enhanced,716,West,English
1/1/2024,65+,Female,Unengaged,Premium,731,South,English
2/1/2024,18-34,Male,Highly Engaged,Basic,794,West,English
2/1/2024,18-34,Male,Highly Engaged,Enhanced,714,West,English
2/1/2024,18-34,Male,Highly Engaged,Premium,815,West,English
2/1/2024,18-34,Male,Reactive Engagers,Basic,783,Midwest,English
2/1/2024,18-34,Male,Reactive Engagers,Enhanced,706,South,English
2/1/2024,18-34,Male,Reactive Engagers,Premium,737,West,English
2/1/2024,18-34,Male,Content & Complacent,Basic,745,Midwest,English
2/1/2024,18-34,Male,Content & Complacent,Enhanced,744,South,English
2/1/2024,18-34,Male,Content & Complacent,Premium,765,Northeast,Spanish
2/1/2024,18-34,Male,Unengaged,Basic,707,Northeast,English
2/1/2024,18-34,Male,Unengaged,Enhanced,798,West,English
2/1/2024,18-34,Male,Unengaged,Premium,806,Midwest,English
2/1/2024,18-34,Female,Highly Engaged,Basic,759,West,English
2/1/2024,18-34,Female,Highly Engaged,Enhanced,777,West,English
2/1/2024,18-34,Female,Highly Engaged,Premium,827,Northeast,Spanish
2/1/2024,18-34,Female,Reactive Engagers,Basic,709,West,English
2/1/2024,18-34,Female,Reactive Engagers,Enhanced,826,West,English
2/1/2024,18-34,Female,Reactive Engagers,Premium,685,Midwest,Spanish
